track_name,track_id,duration_ms,artist_name,album_name,album_release_date,popularity,played_at,explicit
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,205946,DJ Snake,Encore,2016-08-05,86,2025-10-14T22:38:01.121Z,False
Boyfriend,3UGIZ8qcrMTwzLbx6Kttqt,171333,Justin Bieber,Believe,2012-01-01,76,2025-10-14T22:23:45.877Z,False
Never Say Never,5GYbkDveRD2I8M5ZJ14hWn,227853,Justin Bieber,Never Say Never - The Remixes,2011-01-01,76,2025-10-14T22:19:00.617Z,False
As Long As You Love Me,75lo8VozcCLRG9WGG674iD,229466,Justin Bieber,Believe,2012-01-01,69,2025-10-14T22:15:12.391Z,False
Boyfriend,3UGIZ8qcrMTwzLbx6Kttqt,171333,Justin Bieber,Believe,2012-01-01,76,2025-10-14T22:11:18.893Z,False
"thank u, next",3e9HZxeyfWwjeyPAMmWSSQ,207320,Ariana Grande,"thank u, next",2019-02-08,81,2025-10-14T22:07:41.977Z,True
Dangerous Woman,1OhstguCoBQ4SXT8ugSmOl,235946,Ariana Grande,Dangerous Woman,2016-05-20,66,2025-10-14T22:03:54.733Z,False
Into You,49gRYU6hBWgSH2JVixGkJq,244440,Ariana Grande,Dangerous Woman,2016-05-20,68,2025-10-14T21:58:21.689Z,False
Side To Side,4HeCFqiB1rBqGqvE10rF1a,226173,Ariana Grande,Dangerous Woman,2016-05-20,66,2025-10-14T21:54:16.674Z,True
Freak Show,5tf5yfShsau5KL2uMGlbWC,125387,H3artcrush,Freak Show,2020-06-09,69,2025-10-14T21:47:04.252Z,True
GOET,5CE77TLqLjOQ2qgAobzPds,181250,Victor Mendivil,GOET,2024-06-14,80,2025-10-14T21:45:01.408Z,False
Orula,0ejwu6GH5TeXx82YvO6XSN,185935,Victor Mendivil,Orula,2025-10-03,81,2025-10-14T20:33:18.439Z,False
Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz,210960,Gym Class Heroes,The Papercut Chronicles II,2011-11-11,82,2025-10-14T20:23:04.888Z,False
Sorry,09CtPGIpYB4BrO8qb1RGsF,200786,Justin Bieber,Purpose (Deluxe),2015-11-13,85,2025-10-14T20:19:00.749Z,False
Shape of You,7qiZfU4dY1lWllzX7mPBI3,233712,Ed Sheeran,÷ (Deluxe),2017-03-03,88,2025-10-14T20:15:43.341Z,False
Into Your Arms (feat. Ava Max),0b11D9D0hMOYCIMN3OKreM,186022,Witt Lowry,Into Your Arms (feat. Ava Max),2018-06-08,71,2025-10-14T20:11:37.540Z,True
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,217306,Camila Cabello,Camila,2018-01-12,80,2025-10-14T20:08:31.403Z,False
Señorita,6v3KW9xbzN5yKLt9YKDYA2,190799,Shawn Mendes,Shawn Mendes (Deluxe),2019-06-19,80,2025-10-14T20:04:22.895Z,False
Wake Me Up,3xNvgP5eZ49TIhcpCe28pu,247426,Avicii,True (Bonus Edition),2013-09-16,67,2025-10-14T20:01:12.138Z,False
Desenfocao',2CEf2gU5ZJamLXa3NrgAvA,170535,Rauw Alejandro,VICE VERSA,2021-12-10,79,2025-10-14T19:57:03.584Z,False
This Is What You Came For,2vlDrKpOC0eSTqTDRcbYyw,221900,Calvin Harris,96 Months,2024-08-08,79,2025-10-14T19:53:39.561Z,False
In the Name of Love - DallasK Remix,55y30bh2ZUtzOXjWLxn7XT,200597,Martin Garrix,In The Name Of Love Remixes,2016-11-11,50,2025-10-14T19:49:48.495Z,False
Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,220883,Martin Garrix,Scared to Be Lonely,2017-01-27,76,2025-10-14T19:46:27.857Z,False
ME GUSTAS CC,4Hkp1TiYqGYhknFwtUsbqd,173573,ROA,Private Suite (Vol. 2),2024-12-13,77,2025-10-14T19:42:15.533Z,True
Blue Spanish Sky,4ViSfNMCeZwW3TC37q5Swc,238400,Chris Isaak,Heart Shaped World,1989-06-13,57,2025-10-14T19:37:38.878Z,False
Blue Hotel,14mUKa5uIP5wD8SmJbX8ZD,192866,Chris Isaak,Chris Isaak,1987-03-10,62,2025-10-14T19:33:40.285Z,False
Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal,212733,Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,78,2025-10-14T19:27:33.691Z,False
I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,195519,Bebe Rexha,Expectations,2018-06-22,70,2025-10-14T19:23:59.545Z,False
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,251466,G-Eazy,When It's Dark Out,2015-12-04,79,2025-10-14T19:20:44.250Z,True
BESO,609E1JCInJncactoMmkDon,194543,ROSALÍA,RR,2023-03-24,75,2025-10-14T19:16:03.107Z,False
Tabu,5NHyNFYxLRifc2kI1FqDUP,288266,Gustavo Cerati,Bocanada,1999-06-01,52,2025-10-14T19:12:29.510Z,False
DESPECHÁ,53tfEupEzQRtVFOeZvk7xq,156787,ROSALÍA,MOTOMAMI +,2022-09-09,70,2025-10-14T19:07:17.506Z,True
BESO,609E1JCInJncactoMmkDon,194543,ROSALÍA,RR,2023-03-24,75,2025-10-12T15:44:31.216Z,False
BESO,609E1JCInJncactoMmkDon,194543,ROSALÍA,RR,2023-03-24,75,2025-10-12T15:40:39.056Z,False
Tiroteo - Remix,4OwhwvKESFtuu06dTgct7i,321555,Marc Seguí,Tiroteo (Remix),2021-04-01,82,2025-10-12T15:37:02.724Z,False
Problemón,1mSviQV9iQnGSRyvTIuxAj,192613,Alvaro Diaz,Felicilandia,2021-10-29,73,2025-10-12T15:30:31.807Z,False
Algo Mágico,7D93pJcwymzaZx8WgBo2zG,261603,Rauw Alejandro,Afrodisíaco,2020-11-13,76,2025-10-12T15:26:44.797Z,False
ETA - RMX,3YrTrs2hJbLklaBdhr4TrH,462561,ROA,Private Suite (Vol. 2),2024-12-13,74,2025-10-12T15:19:38.594Z,True
11:12 - Interlude,6Gcr5diivtQWpGKu036UuB,142920,ROA,Private Suite (Vol. 1 / Reloaded),2023-12-15,56,2025-10-11T22:12:37.296Z,True
ME GUSTAS CC,4Hkp1TiYqGYhknFwtUsbqd,173573,ROA,Private Suite (Vol. 2),2024-12-13,77,2025-10-11T22:08:56.542Z,True
PERFuMITO NUEVO,1Q9Efnm5csdCMFynISxL2x,200680,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,81,2025-10-11T21:58:57.259Z,True
Sorry,09CtPGIpYB4BrO8qb1RGsF,200786,Justin Bieber,Purpose (Deluxe),2015-11-13,85,2025-10-11T21:11:55.717Z,False
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,233720,Justin Bieber,Purpose (Deluxe),2015-11-13,85,2025-10-11T19:24:32.680Z,False
Don't Wanna Know,1yjzhkjFzBq7BhvbgMrNMa,214265,Maroon 5,Red Pill Blues (Deluxe),2017-11-03,59,2025-10-11T19:20:37.320Z,False
Girls Like You (feat. Cardi B) - Cardi B Version,6V1bu6o1Yo5ZXnsCJU8Ovk,235545,Maroon 5,Red Pill Blues (Deluxe),2018-06-15,66,2025-10-11T19:16:32.260Z,True
It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,220780,Kygo,It Ain't Me (with Selena Gomez),2017-02-16,76,2025-10-11T19:11:44.215Z,False
Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,217306,Camila Cabello,Camila,2018-01-12,80,2025-10-11T19:08:03.039Z,False
Closer,7BKLCZ1jbUBVqRi2FVlTVw,244960,The Chainsmokers,Closer,2016-07-29,86,2025-10-11T19:00:39.065Z,False
Патрон,3uCth4TIWyeQDnj3YbAVQB,225000,Miyagi & Andy Panda,Патрон,2021-04-02,66,2025-10-11T18:55:47.312Z,False
Kosandra,4CeBKWWLXMrQMFsP0Q0K3V,221378,Miyagi & Andy Panda,Kosandra,2020-02-14,71,2025-10-10T23:06:00.877Z,True
